SampleID	UniqueID	Code	Niche	Region	Field_area
BS61	B.BM.Ou1	BM1E1	Bulk_soil	Beni Mellal	Ouarmane
BS62	B.BM.Ou2	BM1E2	Bulk_soil	Beni Mellal	Ouarmane
BS63	B.BM.Ou3	BM1E3	Bulk_soil	Beni Mellal	Ouarmane
BS64	B.BM.Ou4	BM1E4	Bulk_soil	Beni Mellal	Ouarmane
BS65	B.BM.Ou5	BM1E5	Bulk_soil	Beni Mellal	Ouarmane
BS66	B.BM.Af1	BM2E1	Bulk_soil	Beni Mellal	Afourer
BS67	B.BM.Af2	BM2E2	Bulk_soil	Beni Mellal	Afourer
BS68	B.BM.Af3	BM2E3	Bulk_soil	Beni Mellal	Afourer
BS69	B.BM.Af4	BM2E4	Bulk_soil	Beni Mellal	Afourer
BS70	B.BM.Af5	BM2E5	Bulk_soil	Beni Mellal	Afourer
BS71	B.BM.SJ1	BM3E1	Bulk_soil	Beni Mellal	Sidi Jaber
BS72	B.BM.SJ2	BM3E2	Bulk_soil	Beni Mellal	Sidi Jaber
BS73	B.BM.SJ3	BM3E3	Bulk_soil	Beni Mellal	Sidi Jaber
BS74	B.BM.SJ4	BM3E4	Bulk_soil	Beni Mellal	Sidi Jaber
BS75	B.BM.SJ5	BM3E5	Bulk_soil	Beni Mellal	Sidi Jaber
BS76	B.BM.BS1	BM4E1	Bulk_soil	Beni Mellal	Fkih Ben Salah
BS77	B.BM.BS2	BM4E2	Bulk_soil	Beni Mellal	Fkih Ben Salah
BS78	B.BM.BS3	BM4E3	Bulk_soil	Beni Mellal	Fkih Ben Salah
BS79	B.BM.BS4	BM4E4	Bulk_soil	Beni Mellal	Fkih Ben Salah
BS80	B.BM.BS5	BM4E5	Bulk_soil	Beni Mellal	Fkih Ben Salah
BS81	B.Elj.Rd1	EJ1E1	Bulk_soil	El Jadida	Rdaidat
BS82	B.Elj.Rd2	EJ1E2	Bulk_soil	El Jadida	Rdaidat
BS83	B.Elj.Rd3	EJ1E3	Bulk_soil	El Jadida	Rdaidat
BS84	B.Elj.Rd4	EJ1E4	Bulk_soil	El Jadida	Rdaidat
BS85	B.Elj.Rd5	EJ1E5	Bulk_soil	El Jadida	Rdaidat
BS86	B.Elj.OB1	EJ2E1	Bulk_soil	El Jadida	Oulad Bouaanane
